"avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
0.394742094020224,54.5243619489559,"HK3","MARCO+ Macrophage",2.25770225631709
0.402209164608255,53.5962877030162,"GALNT6","MARCO+ Macrophage",1.28172002217819
0.332556152502242,51.276102088167,"GPD2","MARCO+ Macrophage",1.79176546275731
0.525077403538304,54.5243619489559,"HK2","MARCO+ Macrophage",1.40860942571919
0.445266197664002,53.5962877030162,"SLC25A19","MARCO+ Macrophage",1.44141558619467
1.34819418429248,70.0696055684455,"AQP9","MARCO+ Macrophage",1.10020645184196
0.474576434346369,38.2830626450116,"CD36","MARCO+ Macrophage",0.931837070701897
0.470533027541043,27.6102088167053,"FOLR2","MARCO+ Macrophage",0.463930945683747
0.395239338656432,37.8190255220418,"ENPP2","MARCO+ Macrophage",0.475458174438839
0.170330588912574,23.2018561484919,"GATM","MARCO+ Macrophage",0.0830099103501648
0.153386022021969,22.969837587007,"GAL3ST4","MARCO+ Macrophage",0.25767826777265
0.199015133945928,15.7772621809745,"F13A1","MARCO+ Macrophage",0.0126044768744609
0.00352969598053158,0.464037122969838,"HSD17B2","MARCO+ Macrophage",-0.579521827628542
0.00108448052624428,0.464037122969838,"EGFR","MARCO+ Macrophage",-1.19565511866224
0.000652177202285017,0.232018561484919,"HSD17B6","MARCO+ Macrophage",-0.446540219187046
0.0179935555625027,5.10440835266821,"SLC25A4","MARCO+ Macrophage",-0.54415997219224
0.0377544023435442,8.584686774942,"ALDH1B1","MARCO+ Macrophage",-0.454518543869996
0.00202309392201313,0.464037122969838,"AOC3","MARCO+ Macrophage",-0.83180296969917
0.00223763354693756,0.464037122969838,"ADH1B","MARCO+ Macrophage",-0.684875873419626
0.00658684249336013,1.16009280742459,"PLCB1","MARCO+ Macrophage",-0.595653849008534
0.00528200658441467,0.696055684454756,"AKR1C1","MARCO+ Macrophage",-0.594483189848149
0.143793215235619,12.7610208816705,"NT5E","MARCO+ Macrophage",-0.156579462029797
0,0,"PDE1A","MARCO+ Macrophage",-0.848391439928406
0.0125966187522927,2.78422273781903,"GUCY1A1","MARCO+ Macrophage",-0.893224298376159
0.00716257074385258,2.55220417633411,"GPX8","MARCO+ Macrophage",-1.04267321417861
0.0462639226259042,8.584686774942,"CHPF","MARCO+ Macrophage",-0.984120892556285
0.00586533697673,1.16009280742459,"GFPT2","MARCO+ Macrophage",-0.87422315322903
0.0184882338087357,3.94431554524362,"DNM1","MARCO+ Macrophage",-0.910068545367625
0,0,"ABCA8","MARCO+ Macrophage",-0.591561021200897
0.109642113283693,8.584686774942,"CP","MARCO+ Macrophage",-0.321957060504279
0.0470415351101108,8.81670533642691,"PCK1","MARCO+ Macrophage",-0.336805619458479
0.139848048320625,14.6245059288538,"HK3","VCAN+ Monocyte",0.543529496948527
0.380749288847321,28.8537549407115,"GALNT6","VCAN+ Monocyte",1.18711372287679
0.209654246774715,18.9723320158103,"GPD2","VCAN+ Monocyte",0.714036492714113
0.636641602329194,40.7114624505929,"HK2","VCAN+ Monocyte",1.8048892877002
0.510205190145167,35.7707509881423,"SLC25A19","VCAN+ Monocyte",1.71828041859335
3.89346589212917,71.7391304347826,"AQP9","VCAN+ Monocyte",2.4696314495269
0.934318280629108,50.7905138339921,"CD36","VCAN+ Monocyte",2.02372602579273
0.16815238383765,10.4743083003953,"FOLR2","VCAN+ Monocyte",-0.080793380840257
0.202789080206728,14.8221343873518,"ENPP2","VCAN+ Monocyte",-0.0367993384573559
